OFFICIAL MEASUREMENT
TIME,DELAY,INITIAL PERCENTAGE,,SPEED
4.959759,1.871329,0.000000,,227.027160
6.006554,1.951358,0.000000,,187.461899
4.963128,1.714300,0.000000,,226.873049
5.091220,0.950525,0.000000,,221.165069
5.875790,1.951184,0.000888,,191.463620
4.951156,1.029878,0.000000,,227.421641
4.966377,1.737167,0.000000,,226.724632
4.964570,1.647771,0.000000,,226.807153
6.105022,1.951244,0.000000,,184.438321
5.217282,1.951174,0.000888,,215.629515
5.997487,1.950782,0.000000,,187.745306
5.619500,1.951364,0.000000,,200.373702
5.042791,1.836115,0.000000,,223.289042
5.552611,1.950573,0.000000,,202.787486
4.042945,1.005656,0.000888,,278.262511
